id,lemma,vprašanje,odgovor,vrsta,podvrsta,split
34748,sprijaznjen,Katere so sopomenke besede sprijaznjen?,"Sopomenke besede **sprijaznjen** so:
- pasiven
- spokojen
- resigniran
- vdan v usodo",sopomenke,navedi_sopomenke,train
72955,neurje,Preveri število registriranih pomenov besede neurje.,"Beseda **neurje** ima registrirana 1 pomen:
1. Neurje je nevihta, ki jo spremljata grmenje in bliskanje.",pomen,stevilka_pomenov,train
4740,pleskati,Navedi 3 najbolj pogostih kolokacij za pleskati.,"Izpis 3 kolokacij za besedo **pleskati**:
1. začeti pleskati
2. pleskati zidove
3. nehati pleskati",kolokacije,stevilsko_opredeljene_kolokacije,train
32303,regionalen,"Analiziraj rabo besede Regionalno v povedi: 'Regionalno središče je geografsko območje, ki ima pomembno vlogo pri upravljanju in koordiniranju različnih dejavnosti na regionalni ravni. To območje je običajno gospodarsko, polit'.","V povedi *""Regionalno središče je geografsko območje, ki ima pomembno vlogo pri upravljanju in koordiniranju različnih dejavnosti na regionalni ravni. To območje je običajno gospodarsko, polit""* nastopa beseda **Regionalno** kot pregibna oblika (MSD: Ppnset) besede *regionalen*.",primeri_uporabe,analiza_oblike_v_povedi,train
97959,zakovica,Koliko pomenov ima beseda zakovica?,"Beseda **zakovica** ima registrirana 1 pomen:
1. Zakovica je pripomoček, s katerim kosa kovine povežemo skupaj.",pomen,stevilka_pomenov,train
83627,pritikanje,Katere sklone ima beseda pritikanje v množini?,"Sklanjatvene oblike besede **pritikanje** v množini:

| Sklon | Množina |
|---|---|
| 1. Imenovalnik | pritikanja |
| 2. Rodilnik | pritikanj |
| 3. Dajalnik | pritikanjem |
| 4. Tožilnik | pritikanja |
| 5. Mestnik | pri pritikanjih |
| 6. Orodnik | s pritikanji |",sklanjanje,sklanjatev_po_stevilu,train
20136,jajčast,Naštej leksikalne pomene za besedo jajčast.,"Pomeni besede **jajčast** so:
- raba obliki",pomen,nastevanje_pomenov,train
542411,jacinto,Katero besedno vrsto predstavlja jacinto?,Beseda **jacinto** je samostalnik. Beseda je lastno ime in je moškega spola.,besedna_vrsta,osnovne_lastnosti,train
66850,leksika,Izpiši dvojino besede leksika po sklonih.,"Sklanjatvene oblike besede **leksika** v dvojini:

| Sklon | Dvojina |
|---|---|
| 1. Imenovalnik | leksiki |
| 2. Rodilnik | leksik |
| 3. Dajalnik | leksikama |
| 4. Tožilnik | leksiki |
| 5. Mestnik | pri leksikah |
| 6. Orodnik | / |",sklanjanje,sklanjatev_po_stevilu,train
3563,odgrebati,Kako se glasi Sedanjik glagola odgrebati?,"Sedanjik glagola **odgrebati**:

| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | odgrebam | odgrebava | odgrebamo |
| 2. oseba | odgrebaš | odgrebata | odgrebate |
| 3. oseba | odgreba | odgrebata | odgrebajo |",spreganje,spreganje_v_casu,train
52632,dedek,Prikaži uporabo besede dedek v dejanskih povedih.,"Primeri uporabe besede **dedek** v povedih:
- *Deček je bil najraje z babico med kokoškami, deklica z dedkom na vrtu.*
- *Je oče petih otrok in dedek štirih vnukov.*
- *To počnem, ker je ostal v meni delček lovca iz pradavnine, ki ga je v meni zbudil pokojni dedek, ribič.*
- *Emma živi z ljubečim dedkom Claytonom in se sprašuje o svoji mami, ki jo je kmalu po rojstvu zapustila.*
- *Je oče dveh hčera in ponosen dedek.*",primeri_uporabe,povedi_z_besedo,train
71641,nataliteta,Ali ima beseda nataliteta več pomenov?,"Beseda **nataliteta** ima registrirana 1 pomen:
1. Nataliteta v nekem kraju je število otrok na tisoč oseb, rojenih v tistem kraju v določenem obdobju.",pomen,stevilka_pomenov,train
455910,pritrgati,"Kako glasi spreganje glagola pritrgati v sedanjiku, pretekliku in prihodniku?","Spreganje glagola **pritrgati**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | pritrgam | pritrgava | pritrgamo |
| 2. oseba | pritrgaš | pritrgata | pritrgate |
| 3. oseba | pritrga | pritrgata | pritrgajo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem pritrgal / sem pritrgala | sva pritrgali / sva pritrgala | smo pritrgali / smo pritrgala |
| 2. oseba | si pritrgal / si pritrgala | sta pritrgali / sta pritrgala | ste pritrgali / ste pritrgala |
| 3. oseba | je pritrgal / je pritrgala | sta pritrgali / sta pritrgala | so pritrgali / so pritrgala |",spreganje,celotno_spreganje,train
91244,starocerkvenoslovanščina,Koliko leksikalnih pomenov vsebuje beseda starocerkvenoslovanščina?,"Beseda **starocerkvenoslovanščina** ima registrirana 1 pomen:
1. bila prvi slovanski knjižni jezik, ki sta ga v 9. stoletju oblikovala solunska misijonarja Ciril in Metod",pomen,stevilka_pomenov,train
591112,briceljko,Kateri slovnični spol ima beseda briceljko?,Samostalnik **briceljko** je moškega spola.,besedna_vrsta,spol_samostalnika,train
578141,vitoria,Kateri spol ima beseda vitoria?,Samostalnik **vitoria** je moškega spola.,besedna_vrsta,spol_samostalnika,train
515568,zaranžirati,Sestavi spreganje glagola zaranžirati po časih in osebah.,"Spreganje glagola **zaranžirati**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | zaranžiram | zaranžirava | zaranžiramo |
| 2. oseba | zaranžiraš | zaranžirata | zaranžirate |
| 3. oseba | zaranžira | zaranžirata | zaranžirajo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem zaranžirala / sem zaranžiralo | sva zaranžirala / sva zaranžirali | smo zaranžirali / smo zaranžirale |
| 2. oseba | si zaranžirala / si zaranžiralo | sta zaranžirala / sta zaranžirali | ste zaranžirali / ste zaranžirale |
| 3. oseba | je zaranžirala / je zaranžiralo | sta zaranžirala / sta zaranžirali | so zaranžirali / so zaranžirale |",spreganje,celotno_spreganje,train
705145,physiological,Ali je beseda physiological samostalnik ali druga besedna vrsta?,Beseda **physiological** je samostalnik. Beseda je lastno ime in je moškega spola.,besedna_vrsta,osnovne_lastnosti,train
461512,brunast,Navedi vse stopnje za brunast.,"Stopnjevanje besede **brunast**:

| Stopnja | Oblika |
|---|---|
| 1. Osnovnik (Pozitiv) | brunastega / brunasti / brunastih / brunaste / brunastimi / brunastima / brunastim / brunast / brunasta / brunastem / brunasto / brunastemu |
| 2. Primernik (Komparativ) | brunast |
| 3. Presežnik (Superlativ) | brunast |",stopnjevanje,vse_stopnje,train
6281,pregibati,Kateri vid in katero vrsto glagola predstavlja pregibati?,Beseda **pregibati** je dvovidski glagol.,besedna_vrsta,vrsta_in_vid_glagola,train
23981,mineralen,Izpiši tipične besedne zveze z besedo mineralen.,"Tipične kolokacije z besedo **mineralen**:
- mineralna voda
- mineralno gnojilo
- mineralne snovi
- mineralne surovine
- mineralna olja
- mineralna gostota
- mineralna sol
- mineralna volna
- mineralni dodatek
- mineralni dušik",kolokacije,navedi_kolokacije,train
9900,zaripniti,Izpiši neosebne oblike glagola zaripniti.,"Neosebne in posebne oblike glagola **zaripniti**:
- Nedoločnik: **zaripniti**
- Namenilnik: **zaripnit**
",spreganje,neosebne_oblike,train
447925,dekomprimirati,Prikaži pregled spreganja za glagol dekomprimirati.,"Spreganje glagola **dekomprimirati**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | dekomprimiram | dekomprimirava | dekomprimiramo |
| 2. oseba | dekomprimiraš | dekomprimirata | dekomprimirate |
| 3. oseba | dekomprimira | dekomprimirata | dekomprimirajo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem dekomprimirala / sem dekomprimiralo | sva dekomprimirala / sva dekomprimirali | smo dekomprimirali / smo dekomprimirala |
| 2. oseba | si dekomprimirala / si dekomprimiralo | sta dekomprimirala / sta dekomprimirali | ste dekomprimirali / ste dekomprimirala |
| 3. oseba | je dekomprimirala / je dekomprimiralo | sta dekomprimirala / sta dekomprimirali | so dekomprimirali / so dekomprimirala |",spreganje,celotno_spreganje,train
1467,izblebetati,Katere sopomenke obstajajo za izraz izblebetati?,"Sopomenke besede **izblebetati** so:
- izčvekati
- zblebetati
- izklepetati
- izdati
- sčivkati
- pokazati
- blekniti",sopomenke,navedi_sopomenke,train
3706,odpahniti,Navedi vse osebe in čase za glagol odpahniti.,"Spreganje glagola **odpahniti**:

### Sedanjik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | odpahnem | odpahneva | odpahnemo |
| 2. oseba | odpahneš | odpahneta | odpahnete |
| 3. oseba | odpahne | odpahneta | odpahnejo |

### Preteklik
| Oseba | Ednina | Dvojina | Množina |
|---|---|---|---|
| 1. oseba | sem odpahnil / sem odpahnila | sva odpahnila / sva odpahnili | smo odpahnili / smo odpahnile |
| 2. oseba | si odpahnil / si odpahnila | sta odpahnila / sta odpahnili | ste odpahnili / ste odpahnile |
| 3. oseba | je odpahnil / je odpahnila | sta odpahnila / sta odpahnili | so odpahnili / so odpahnile |",spreganje,celotno_spreganje,train
